shapeid,lon,lat,Provider N,Network,Facility N,Address Li,City,State,Zip,County,Chain Orga,Profit or,Certificat,# of Dialy,Offers in-,addrtype,addrlocat
112,-121.05221,37.709091,552760,17,ARCHWAY DIALYSIS OF MODESTO,3001 HEALTH CARE WAY,MODESTO,CA,95356,STANISLAUS,DAVITA,Profit,7/2/2014,20,TRUE,street_address,ROOFTOP
113,-119.655482,36.3303806,552721,18,DAVITA-SEQUOIA DIALYSIS,440 N. 11TH STREET,HANFORD,CA,93230,KINGS,DAVITA,Profit,4/12/2013,20,TRUE,premise,ROOFTOP
114,-116.9711798,33.802464,52768,18,DAVITA-DIAMOND VALLEY DIALYSIS CENTER,1181 N. STATE ST.,SAN JACINTO,CA,92583,RIVERSIDE,DAVITA,Profit,7/6/1995,12,TRUE,premise,ROOFTOP
115,-118.3430547,33.902919,552744,18,DAVITA-HAWTHORNE DIALYSIS,14204 PRAIRIE AVENUE,HAWTHORNE,CA,90250,LOS ANGELES,DAVITA,Profit,1/24/2014,25,TRUE,premise,ROOFTOP
116,-122.2458023,37.5033454,52793,17,SATELLITE DIALYSIS REDWOOD CITY,1125 INDUSTRIAL RD SUITE G,SAN CARLOS,CA,94070,SAN MATEO,SATELLITE HEALTHCARE,Non-Profit,7/25/1996,25,TRUE,subpremise,ROOFTOP
117,-118.465547,34.1951027,52554,18,DAVITA-VALLEY DIALYSIS CENTER,"6840 SEPULVEDA BLVD, SUITE 101",VAN NUYS,CA,91405,LOS ANGELES,DAVITA,Profit,12/1/1978,23,TRUE,subpremise,ROOFTOP
118,-118.2426575,34.1324944,52632,18,DAVITA-GLENDALE DIALYSIS,1000 E. PALMER AVENUE,GLENDALE,CA,91205,LOS ANGELES,DAVITA,Profit,9/13/1985,20,TRUE,premise,ROOFTOP
119,-117.6747433,33.5944364,552718,18,DAVITA-LAGUNA HILLS DIALYSIS,25332 CABOT ROAD,LAGUNA HILLS,CA,92653,ORANGE,DAVITA,Profit,4/4/2013,22,TRUE,premise,ROOFTOP
120,-118.0003487,33.8313571,552786,18,FMC-ANAHEIM DIALYSIS,"3150 W. LINCOLN AVENUE, SUITE 100",ANAHEIM,CA,92801,ORANGE,FRESENIUS MEDICAL CARE,Profit,6/6/2016,30,TRUE,subpremise,ROOFTOP
121,-122.0469368,37.5944353,52571,17,UNION CITY DIALYSIS CENTER,32930 ALVARADO-NILES ROAD #300,UNION CITY,CA,94587,ALAMEDA,DAVITA,Profit,5/20/1981,38,TRUE,subpremise,ROOFTOP
122,-117.9406284,34.0699594,52847,18,FMC-WEST COVINA KIDNEY CENTER,1540 W. COVINA PARKWAY,WEST COVINA,CA,91790,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,6/24/1999,20,TRUE,street_address,ROOFTOP
123,-117.6473551,35.620111,52789,18,DAVITA-INDIAN WELLS VALLEY,212 S. RICHMOND ROAD,RIDGECREST,CA,93555,KERN,DAVITA,Profit,6/3/1996,12,TRUE,street_address,ROOFTOP
124,-118.1368862,34.0240068,552585,18,"PERITONEAL DIALYSIS CENTER OF AMERICA, INC.",3112 W. BEVERLY BLVD.,MONTEBELLO,CA,90640,LOS ANGELES,INDEPENDENT,Profit,10/19/2007,0,FALSE,subpremise,ROOFTOP
125,-119.1800257,34.1752935,52860,18,FMC-DIALYSIS SERVICES CHANNEL ISLANDS,"2679 S. SAVIERS ROAD, SUITE B",OXNARD,CA,93033,VENTURA,FRESENIUS MEDICAL CARE,Profit,5/15/2000,20,TRUE,subpremise,ROOFTOP
126,-120.4698758,37.3262019,52584,17,NORTH MERCED DIALYSIS CENTER,"3393 G STREET, BLD A SIUTE A",MERCED,CA,95340,MERCED,DAVITA,Profit,11/8/1982,20,TRUE,subpremise,ROOFTOP
127,-121.05221,37.709091,552765,17,ARCHWAY MODESTO HOME TRAINING,"3001 HEALTH CARE WAY, SUITE 101",MODESTO,CA,95350,STANISLAUS,DAVITA,Profit,7/2/2014,0,TRUE,subpremise,ROOFTOP
128,-118.1226292,34.064615,552666,18,DAVITA-GARFIELD HOME PROGRAM,"228 N. GARFIELD AVENUE, #301",MONTEREY PARK,CA,91754,LOS ANGELES,DAVITA,Profit,11/9/2010,4,FALSE,subpremise,ROOFTOP
129,-117.891788,34.0871062,52726,18,MOHAN DIALYSIS CENTER OF COVINA,158 W. COLLEGE STREET,COVINA,CA,91723,LOS ANGELES,INDEPENDENT,Profit,8/10/1992,18,TRUE,premise,ROOFTOP
130,-122.1416946,37.7129072,52675,17,EAST BAY PERITONEAL DIALYSIS,13939 E 14TH STREET STE 110,SAN LEANDRO,CA,94578,ALAMEDA,DAVITA,Profit,11/4/1988,4,FALSE,subpremise,ROOFTOP
131,-118.5375093,34.2204056,52545,18,U.S. RENAL CARE NORTHRIDGE DIALYSIS,"18546 ROSCOE BLVD., SUITE 108",NORTHRIDGE,CA,91324,LOS ANGELES,"US RENAL CARE, INC.",Profit,8/15/1977,24,TRUE,subpremise,ROOFTOP
132,-122.079628,37.383966,552831,17,DAVITA EL CAMINO DIALYSIS,412 WEST EL CAMINO REAL,MOUNTAIN VIEW,CA,94043,SANTA CLARA,DAVITA,Profit,5/23/2018,24,TRUE,street_address,ROOFTOP
133,-119.0195017,34.2420829,52668,18,FMC-CAMARILLO DIALYSIS CENTER,"3801 LAS POSAS ROAD, SUITE 103",CAMARILLO,CA,93010,VENTURA,FRESENIUS MEDICAL CARE,Profit,2/10/1988,15,TRUE,subpremise,ROOFTOP
134,-121.243745,37.796238,552606,17,YOSEMITE STREET DIALYSIS,1650 WEST YOSEMITE AVENUE,MANTECA,CA,95337,SAN JOAQUIN,DAVITA,Profit,1/7/2009,21,TRUE,street_address,ROOFTOP
135,-117.0447665,32.6889275,52885,18,FMC-DIALYSIS SERVICES OF PARADISE,6919 PARADISE VALLEY ROAD,SAN DIEGO,CA,92139,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,7/25/2002,20,TRUE,premise,ROOFTOP
136,-117.9399573,34.0729614,52580,18,DAVITA-COVINA DIALYSIS CENTER,1547 W. GARVEY AVENUE NORTH,WEST COVINA,CA,91790,LOS ANGELES,DAVITA,Profit,1/14/1982,17,TRUE,street_address,ROOFTOP
137,-122.0791651,37.3829433,552756,17,WELLBOUND OF MOUNTAIN VIEW,247 WEST EL CAMINO REAL SUITE 200,MOUNTAIN VIEW,CA,94040,SANTA CLARA,SATELLITE DIALYSIS,Non-Profit,6/19/2014,0,TRUE,subpremise,ROOFTOP
138,-118.1452628,34.0176807,552574,18,EAST LOS ANGELES DIALYSIS CENTER,5830 E. WHITTIER BLVD.,EAST LOS ANGELES,CA,90022,LOS ANGELES,INDEPENDENT,Profit,3/5/2007,40,TRUE,street_address,ROOFTOP
139,-120.8873439,37.5316728,552812,17,DAVITA GOLDEN STATE DIALYSIS,4200 N GOLDEN STATE BLVD,TURLOCK,CA,95382,STANISLAUS,DAVITA,Profit,7/10/2017,24,TRUE,street_address,ROOFTOP
140,-121.4655004,38.5638361,52676,17,DCI UNIVERSITY DIALYSIS CLINIC,1771 STOCKTON BLVD,SACRAMENTO,CA,95816,SACRAMENTO,"DIALYSIS CLINIC, INC.",Non-Profit,11/1/1988,24,TRUE,premise,ROOFTOP
141,-117.8720761,33.7883745,52589,18,FMC-UNIVERSITY DIALYSIS CENTER OF ORANGE,1809 W. CHAPMAN AVENUE,ORANGE,CA,92868,ORANGE,FRESENIUS MEDICAL CARE,Non-Profit,7/1/1983,20,TRUE,premise,ROOFTOP
142,-117.9680314,34.0412102,52710,18,"LA PUENTE DIALYSIS CENTER, INC.",14557 TEMPLE AVENUE,LA PUENTE,CA,91744,LOS ANGELES,INDEPENDENT,Profit,4/8/1991,24,TRUE,premise,ROOFTOP
143,-118.0404273,33.7165712,52641,18,DAVITA-HUNTINGTON BEACH DIALYSIS,"16892 BOLSA CHICA AVENUE, SUITE 100",HUNTINGTON BEACH,CA,92649,ORANGE,DAVITA,Profit,2/6/1986,10,TRUE,subpremise,ROOFTOP
144,-117.351059,34.0740531,52334,18,ARROWHEAD REGIONAL MEDICAL CENTER,400 N. PEPPER AVENUE,COLTON,CA,92324,SAN BERNARDINO,INDEPENDENT,Non-Profit,4/28/2006,8,TRUE,street_address,ROOFTOP
145,-118.0694331,33.918038,52718,18,DAVITA-NORWALK DIALYSIS CENTER,12375 E. IMPERIAL HIGHWAY,NORWALK,CA,90650,LOS ANGELES,DAVITA,Profit,11/13/1991,17,TRUE,street_address,ROOFTOP
146,-117.9457985,34.0622719,52868,18,"QUEENS DIALYSIS UNIT, INC.","1135 S. SUNSET AVENUE, SUITE 103",WEST COVINA,CA,91790,LOS ANGELES,INDEPENDENT,Profit,4/23/2001,21,TRUE,subpremise,ROOFTOP
147,-121.0722955,37.7048002,552751,17,WELLBOUND OF NORTH MODESTO,4207 BANGS AVE. SUITE 200,MODESTO,CA,95356,STANISLAUS,SATELLITE DIALYSIS,Non-Profit,3/18/2014,0,TRUE,subpremise,ROOFTOP
148,-122.2589194,37.8403029,52729,17,OAKLAND DIALYSIS CENTER,5354 CLAREMONT AVENUE,OAKLAND,CA,94618,ALAMEDA,DAVITA,Profit,4/23/1993,40,TRUE,premise,ROOFTOP
149,-119.8789347,36.8076784,52608,17,FRESNO DIALYSIS CENTER,"4753 WEST SHAW AVENUE, SUITE 101",FRESNO,CA,93722,FRESNO,DAVITA,Profit,7/20/1984,23,TRUE,subpremise,ROOFTOP
150,-118.1201772,34.0123416,52785,18,DAVITA-DOCTORS DIALYSIS CENTER OF MONTEBELLO,1721 W. WHITTIER BLVD.,MONTEBELLO,CA,90640,LOS ANGELES,DAVITA,Profit,5/3/1996,28,TRUE,premise,ROOFTOP
151,-118.2556896,34.027095,552649,18,DAVITA-CARABELLO DIALYSIS CENTER,757 E. WAHINGTON BLVD.,LOS ANGELES,CA,90021,LOS ANGELES,DAVITA,Profit,1/29/2010,24,TRUE,street_address,ROOFTOP
152,-122.014327,37.3765929,52870,17,SATELLITE DIALYSIS SUNNYVALE,155 NORTH WOLFE RD,SUNNYVALE,CA,94086,SANTA CLARA,SATELLITE HEALTHCARE,Non-Profit,6/4/2001,25,TRUE,street_address,ROOFTOP
153,-121.6709968,36.6868014,552724,17,LAUREL MEADOWS HOME TRAINING,"3 ROSSI CIRCLE, STE B",SALINAS,CA,93907,MONTEREY,DAVITA,Profit,7/2/2013,5,TRUE,subpremise,ROOFTOP
154,-116.953154,33.9298916,552636,18,FMC-RAI-EAST SIXTH STREET-BEAUMONT,1536 E. 6TH STREET,BEAUMONT,CA,92223,RIVERSIDE,FRESENIUS MEDICAL CARE,Profit,9/10/2009,24,TRUE,premise,ROOFTOP
155,-117.9956248,33.7621819,52772,18,FMC-RAI-HOSPITAL CIRCLE-WESTMINSTER,290 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,ORANGE,FRESENIUS MEDICAL CARE,Profit,12/20/1995,16,TRUE,premise,ROOFTOP
156,-117.4713385,33.9029833,52382,18,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE,"PERITONEAL DIALYSIS UNIT, 10800 MAGNOLIA AVENUE, MODULE 1X",RIVERSIDE,CA,92505,RIVERSIDE,KAISER PERMANENTE,Non-Profit,11/25/1992,4,FALSE,establishment,ROOFTOP
157,-121.4167848,38.5709934,552549,17,UNIVERSITY DIALYSIS CENTER,333 UNIVERSITY AVENUE,SACRAMENTO,CA,95825,SACRAMENTO,DAVITA,Profit,2/22/2006,21,TRUE,street_address,ROOFTOP
158,-118.4574711,34.2793631,52558,18,HOLY CROSS RENAL CENTER,"14901 RINALDI STREET, SUITE 100",MISSION HILLS,CA,91345,LOS ANGELES,"HEMODIALYSIS, INC.",Profit,12/1/1979,52,TRUE,subpremise,ROOFTOP
159,-118.1405661,34.0247568,552640,18,MONTEBELLO ARTIFICIAL KIDNEY CENTER,3404 W. BEVERLY BLVD.,MONTEBELLO,CA,90640,LOS ANGELES,INDEPENDENT,Profit,9/28/2009,24,TRUE,premise,ROOFTOP
160,-122.469811,37.7011118,552733,17,SATELLITE DIALYSIS DALY CITY,"2001 JUNIPERO SERRA BLVD, SUITE 100",DALY CITY,CA,94014,SAN MATEO,SATELLITE DIALYSIS,Non-Profit,8/14/2013,24,TRUE,subpremise,ROOFTOP
161,-117.2791389,34.1270678,552565,18,SAN BERNARDINO VALLEY HOME DIALYSIS CENTER,"1500 N. WATERMAN AVENUE, SUITE B",SAN BERNARDINO,CA,92404,SAN BERNARDINO,INDEPENDENT,Profit,2/12/2007,0,FALSE,subpremise,ROOFTOP
162,-122.3075648,38.3239197,52615,17,NAPA DIALYSIS CENTER,3900-C BEL AIRE PLAZA #C,NAPA,CA,94558,NAPA,DAVITA,Profit,3/25/1985,20,TRUE,subpremise,ROOFTOP
163,-117.1120981,33.4766589,552838,18,DAVITA - REDHAWK DIALYSIS,"44605 AVENIDA DE MISSIONES, SUITE 100",TEMECULA,CA,92592,RIVERSIDE,DAVITA,Profit,8/1/2018,24,TRUE,subpremise,ROOFTOP
164,-122.753843,38.4219579,52630,17,SATELLITE DIALYSIS SANTA ROSA,2301 CIRCADIAN WAY #C,SANTA ROSA,CA,95407,SONOMA,SATELLITE HEALTHCARE,Non-Profit,9/23/1985,48,TRUE,subpremise,ROOFTOP
165,-122.438474,37.7853143,53523,17,UC CHRONIC DIALYSIS/MT. ZION,1675 SCOTT STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,INDEPENDENT,Non-Profit,4/1/2000,14,TRUE,premise,ROOFTOP
166,-114.604954,33.6113138,52812,18,FMC-BLYTHE DESERT DIALYSIS,737 W. HOBSON WAY,BLYTHE,CA,92225,RIVERSIDE,FRESENIUS MEDICAL CARE,Profit,10/9/1997,13,TRUE,subpremise,ROOFTOP
167,-119.3410291,36.2084887,52666,18,DAVITA-TULARE DIALYSIS,545 E. TULARE AVENUE,TULARE,CA,93274,TULARE,DAVITA,Profit,10/5/1987,16,TRUE,premise,ROOFTOP
168,-122.029292,37.9299898,52689,17,WALNUT CREEK DIALYSIS,404 NORTH WIGET LANE,WALNUT CREEK,CA,94598,CONTRA COSTA,DAVITA,Profit,8/25/1989,24,TRUE,street_address,ROOFTOP
169,-122.4605044,37.7249706,52728,17,RAI OCEAN AVENUE,1738 OCEAN AVENUE,SAN FRANCISCO,CA,94112,SAN FRANCISCO,FRESENIUS MEDICAL CARE,Profit,11/5/1992,24,TRUE,street_address,ROOFTOP
170,-117.2708724,34.5426386,52561,18,DAVITA-VICTOR VALLEY DIALYSIS,16049 KAMANA ROAD,APPLE VALLEY,CA,92307,SAN BERNARDINO,DAVITA,Profit,7/30/1980,22,TRUE,premise,ROOFTOP
171,-120.3398755,36.1515057,552726,17,COALINGA DIALYSIS,1147 PHELPS AVE,COALINGA,CA,93210,FRESNO,DAVITA,Profit,7/23/2013,12,TRUE,street_address,RANGE_INTERPOLATED
172,-118.4582319,34.2802893,52633,18,FMC-MISSION HILLS,"11550 INDIAN HILLS ROAD, SUITE 100",MISSION HILLS,CA,91345,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,10/28/1985,23,TRUE,subpremise,ROOFTOP
173,-118.149297,34.1326581,552734,18,FMC-LIBERTY WEST PASADENA,757 S. RAYMOND AVENUE,PASADENA,CA,91105,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,8/28/2013,21,TRUE,premise,ROOFTOP
174,-117.3155075,33.181182,52708,18,FMC-NORTH COAST KIDNEY CENTER,"3300 VISTA WAY, SUITE A",OCEANSIDE,CA,92056,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,3/29/1991,30,TRUE,subpremise,ROOFTOP
175,-118.118097,33.9012466,52880,18,FMC-BELLFLOWER,10116 ROSECRANS AVENUE,BELLFLOWER,CA,90706,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,1/30/2002,36,TRUE,subpremise,ROOFTOP
176,-120.6118589,37.3435825,52706,17,ATWATER DIALYSIS CENTER,1201 COMMERCE AVE,ATWATER,CA,95301,MERCED,DAVITA,Profit,3/14/1991,10,TRUE,street_address,ROOFTOP
177,-117.9202664,33.752296,552781,18,DAVITA-GARDEN GROVE HARBOR DIALYSIS,13054 NORTH HARBOR BLVD.,GARDEN GROVE,CA,92843,ORANGE,DAVITA,Profit,9/10/2015,24,TRUE,route,GEOMETRIC_CENTER
178,-121.9509106,37.2557822,52694,17,FMC LOS GATOS,14651 SOUTH BASCOM SUITE 100,LOS GATOS,CA,95032,SANTA CLARA,FRESENIUS MEDICAL CARE,Profit,3/26/1990,12,TRUE,subpremise,ROOFTOP
179,-118.3008051,34.0977767,52801,18,DAVITA-HOLLYWOOD DIALYSIS CENTER,5108 SUNSET BLVD.,LOS ANGELES,CA,90027,LOS ANGELES,DAVITA,Profit,4/4/1997,20,TRUE,street_address,ROOFTOP
180,-121.1004139,38.9408686,52614,17,AUBURN DIALYSIS CENTER,3126 PROFESSIONAL DRIVE #100,AUBURN,CA,95603,PLACER,DAVITA,Profit,2/6/1985,16,TRUE,subpremise,ROOFTOP
181,-119.0887436,35.3172993,552521,18,DAVITA-WHITE LANE DIALYSIS,"7701 WHITE LANE, SUITE D",BAKERSFIELD,CA,93309,KERN,DAVITA,Profit,12/23/2003,20,TRUE,subpremise,ROOFTOP
182,-118.2597625,34.0286078,52856,18,DAVITA-WASHINGTON PLAZA DIALYSIS CENTER,516-522 E. WASHINGTON BLVD.,LOS ANGELES,CA,90015,LOS ANGELES,DAVITA,Profit,1/26/2000,24,TRUE,street_address,ROOFTOP
183,-121.6379786,36.655314,52602,17,SALINAS DIALYSIS CENTER,"955 BLANCO CIRCLE, STE. #C",SALINAS,CA,93901,MONTEREY,DAVITA,Profit,10/3/1984,34,TRUE,subpremise,ROOFTOP
184,-118.3747787,34.064415,552783,18,U.S. RENAL CARE BEVERLY HILLS DIALYSIS,8420 WILSHRIE BLVD.,BEVERLY HILLS,CA,90211,LOS ANGELES,"US RENAL CARE, INC.",Profit,4/25/2016,21,TRUE,street_address,ROOFTOP
185,-117.4323266,34.0722811,52380,18,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- FONTANA,"PERITONEAL DIALYSIS UNIT, 9985 SIERRA AVENUE MOB-3",FONTANA,CA,92335,SAN BERNARDINO,KAISER PERMANENTE,Non-Profit,7/24/1991,5,FALSE,street_address,ROOFTOP
186,-121.0046867,37.6436101,552524,17,WELLBOUND OF MODESTO,1315 TENTH STREET #100,MODESTO,CA,95354,STANISLAUS,SATELLITE HEALTHCARE,Non-Profit,7/13/2004,4,TRUE,subpremise,ROOFTOP
187,-119.0214894,34.2423035,552551,18,DAVITA-DIALYSIS CENTER OF CAMARILLO,"2438 N. PONDEROSA DRIVE, SUITE C-101",CAMARILLO,CA,93010,VENTURA,DAVITA,Profit,5/17/2006,18,TRUE,subpremise,ROOFTOP
188,-118.2580748,33.8428167,52687,18,FMC-CARSON,"20710 S. LEAPWOOD AVENUE, SUITE F",CARSON,CA,90746,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,6/9/1989,11,TRUE,subpremise,ROOFTOP
189,-122.4312619,37.7840686,552736,17,SAN FRANCISCO HOME TRAINING,1493 WEBSTER STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,DAVITA,Profit,12/10/2013,0,FALSE,street_address,ROOFTOP
190,-116.2344428,33.7091673,52894,18,FMC-RAI-MONROE-INDIO,"46-767 MONROE STREET, SUITE 101",INDIO,CA,92201,RIVERSIDE,FRESENIUS MEDICAL CARE,Profit,9/11/2002,20,TRUE,subpremise,ROOFTOP
191,-122.2590387,37.8403216,52822,17,OAKLAND PERITONEAL DIALYSIS CENTER,5352 CLAREMONT AVE,OAKLAND,CA,94618,ALAMEDA,DAVITA,Profit,3/10/1998,0,FALSE,street_address,ROOFTOP
192,-117.907187,34.1267208,552573,18,"AZUSA DIALYSIS CENTER, LLC",312 N. AZUSA AVENUE,AZUSA,CA,91702,LOS ANGELES,INDEPENDENT,Profit,3/5/2007,24,TRUE,premise,ROOFTOP
193,-117.9142745,33.9907213,552843,18,DAVTA-ROWLAND HEIGHTS DIALYSIS,"17875 COLIMA RD, SUITE A",CITY OF INDUSTRY,CA,91748,LOS ANGELES,DAVITA,Profit,10/17/2018,32,TRUE,subpremise,ROOFTOP
194,-122.2213806,40.1485283,552557,17,RED BLUFF DIALYSIS,2455 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,DAVITA,Profit,7/12/2006,15,TRUE,premise,ROOFTOP
195,-118.185324,33.7802724,52840,18,U.S. RENAL CARE LONG BEACH DIALYSIS,"1045 ATLANTIC AVENUE, SUITE 108",LONG BEACH,CA,90813,LOS ANGELES,"US RENAL CARE, INC.",Profit,12/2/1998,24,TRUE,subpremise,ROOFTOP
196,-117.0992254,32.9396379,552543,18,HOME DIALYSIS THERAPIES OF SAN DIEGO-NORTH,"10672 WEXFORD STREET, SUITE 250",SAN DIEGO,CA,92131,SAN DIEGO,INDEPENDENT,Profit,5/9/2005,1,TRUE,subpremise,ROOFTOP
197,-117.0040706,33.7476844,52620,18,DAVITA-HEMET,3050 W. FLORIDA AVENUE,HEMET,CA,92545,RIVERSIDE,DAVITA,Profit,5/9/1985,28,TRUE,premise,ROOFTOP
198,-117.9336417,33.9269407,552590,18,QUOTIDIAN HOME DIALYSIS CLINIC,"511 S. HARBOR BLVD, SUITE T",LA HABRA,CA,90631,ORANGE,INDEPENDENT,Profit,10/16/2007,2,TRUE,subpremise,ROOFTOP
199,-122.3007416,37.8379279,552539,17,WELLBOUND OF EMERYVILLE,2000 POWELL STREET SUITE 140,EMERYVILLE,CA,94608,ALAMEDA,SATELLITE HEALTHCARE,Non-Profit,3/9/2005,4,TRUE,subpremise,ROOFTOP
200,-118.2261186,33.9879599,552667,18,DAVITA-HUNTINGTON PARK DIALYSIS,5942 RUGBY AVENUE,HUNTINGTON PARK,CA,90255,LOS ANGELES,DAVITA,Profit,1/28/2011,21,TRUE,premise,ROOFTOP
201,-117.2054631,34.0682866,52727,18,FMC-RAI-INDIANA COURT-REDLANDS,1210 INDIANA COURT,REDLANDS,CA,92374,SAN BERNARDINO,FRESENIUS MEDICAL CARE,Profit,10/14/1992,18,TRUE,premise,ROOFTOP
202,-118.3759623,34.0667671,52599,18,DAVITA-BEVERLY HILLS DIALYSIS CENTER,"50 N. LA CIENEGA BLVD., SUITE 300",BEVERLY HILLS,CA,90211,LOS ANGELES,DAVITA,Profit,1/1/1984,30,TRUE,subpremise,ROOFTOP
203,-118.5642234,34.1715144,552508,18,FMC-WOODLAND HILLS DIALYSIS CENTER,"19836 VENTURA BLVD., SUITE C",WOODLAND HILLS,CA,91364,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,6/4/2003,21,TRUE,subpremise,ROOFTOP
204,-118.1896543,33.8139245,52671,18,DAVITA-UNITED DIALYSIS CENTER,3111 LONG BEACH BLVD.,LONG BEACH,CA,90807,LOS ANGELES,DAVITA,Profit,9/1/1988,26,TRUE,premise,ROOFTOP
205,-117.2666028,34.0728853,552541,18,DAVITA-CITRUS VALLEY DIALYSIS,894 HARDT STREET,SAN BERNARDINO,CA,92408,SAN BERNARDINO,DAVITA,Profit,3/31/2005,20,TRUE,premise,ROOFTOP
206,-117.980088,33.9402935,52884,18,WHITTIER KIDNEY DIALYSIS CENTER,16417 E. WHITTIER BLVD.,WHITTIER,CA,90603,LOS ANGELES,INDEPENDENT,Profit,6/5/2002,29,TRUE,premise,ROOFTOP
207,-120.4441315,34.9173476,52871,18,DAVITA CENTRAL COAST KIDNEY CENTER,2263 S. DEPOT STREET,SANTA MARIA,CA,93455,SANTA BARBARA,DAVITA,Profit,7/17/2001,42,TRUE,premise,ROOFTOP
208,-121.2491011,38.7553646,552788,17,ROSEVILLE HOME THERAPY,"1474 STONE POINT DRIVE, SUITE 105",ROSEVILLE,CA,95661,PLACER,FRESENIUS MEDICAL CARE,Profit,8/4/2016,0,TRUE,subpremise,ROOFTOP
209,-122.3765339,40.5846205,52528,17,REDDING DIALYSIS CENTER,1876 PARK MARINA DRIVE,REDDING,CA,96001,SHASTA,DAVITA,Profit,8/20/1977,28,TRUE,street_address,ROOFTOP
210,-118.137279,34.0524842,52684,18,PERITONEAL DIALYSIS CENTER OF AMERICA-SAN GABRIEL PC,"809 S. ATLANTIC BLVD., SUITE 103",MONTEREY PARK,CA,91754,LOS ANGELES,INDEPENDENT,Profit,7/22/1989,2,FALSE,establishment,ROOFTOP
211,-122.2242176,37.4873573,552665,17,REDWOOD CITY DIALYSIS CENTER,1000 MARSHALL STREET,REDWOOD CITY,CA,94063,SAN MATEO,DAVITA,Profit,11/12/2010,24,TRUE,premise,ROOFTOP
212,-118.3561039,34.0195651,52806,18,"KIDNEY DIALYSIS CENTER OF BALDWIN HILLS, LLC",3705 S. LA BREA AVENUE,LOS ANGELES,CA,90016,LOS ANGELES,"KIDNEY CENTER, INC.",Profit,7/3/1997,17,TRUE,subpremise,ROOFTOP
213,-121.9948512,37.3364844,552737,17,DAVITA SANTA CLARA DIALYSIS CENTER,777 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,DAVITA,Profit,10/24/2013,24,TRUE,premise,ROOFTOP
214,-122.4354438,37.768847,552669,17,DAVIES DIALYSIS,"45 CASTRO STREET, SOUTH TOWER 2ND FLOOR",SAN FRANCISCO,CA,94114,SAN FRANCISCO,DAVITA,Profit,2/1/2011,16,TRUE,subpremise,ROOFTOP
215,-118.2040947,33.9322045,52502,18,DAVITA-KIDNEY DIALYSIS CARE UNIT,3600 E. MARTIN LUTHER KING JR. BLVD.,LYNWOOD,CA,90262,LOS ANGELES,DAVITA,Profit,12/14/1977,40,TRUE,premise,ROOFTOP
216,-117.0842349,32.6388129,552677,18,FMC-BALBOA SOUTH BAY HOME THERAPIES,"340 4TH AVENUE, SUITE 18",CHULA VISTA,CA,91910,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,5/10/2011,5,TRUE,subpremise,ROOFTOP
217,-122.4760463,37.6752372,52546,17,DALY CITY DIALYSIS CENTER,1498 SOUTHGATE AVENUE,DALY CITY,CA,94015,SAN MATEO,DAVITA,Profit,8/31/1977,34,TRUE,premise,ROOFTOP
218,-121.4320624,38.5000162,52857,17,FLORIN DIALYSIS CENTER,7000 STOCKTON BLVD.,SACRAMENTO,CA,95823,SACRAMENTO,DAVITA,Profit,3/10/2000,31,TRUE,street_address,ROOFTOP
219,-118.3485233,33.8124578,552784,18,U.S. RENAL CARE SOUTH BAY HOME PROGRAM,23441 MADISON STREET #320,TORRANCE,CA,90503,LOS ANGELES,"US RENAL CARE, INC.",Profit,4/1/2016,4,FALSE,subpremise,ROOFTOP
220,-117.9297058,33.7135634,52798,18,FMC-RAI-NEWHOPE-FOUNTAIN VALLEY,"17197 NEWHOPE STREET, SUITE A, B, C & D",FOUNTAIN VALLEY,CA,92708,ORANGE,FRESENIUS MEDICAL CARE,Profit,5/1/1997,24,TRUE,subpremise,ROOFTOP
221,-118.0388722,33.8466838,52627,18,DAVITA-LA PALMA DIALYSIS,"5451 LA PALMA AVENUE, SUITE 35",LA PALMA,CA,90623,ORANGE,DAVITA,Profit,7/11/1985,12,TRUE,subpremise,ROOFTOP
222,-118.5547846,34.3963827,52778,18,NRC-SANTA CLARITA KIDNEY CENTER,"23861 W. MCBEAN PARKWAY, SUITE E-11",VALENCIA,CA,91355,LOS ANGELES,NATIONAL RENAL CARE,Profit,2/19/1996,22,TRUE,subpremise,ROOFTOP
223,-122.1157851,37.6605785,52685,17,HAYWARD DIALYSIS CENTER,21615 HESPERIAN BOULEVARD SUITE F,HAYWARD,CA,94541,ALAMEDA,DAVITA,Profit,10/18/1989,30,TRUE,subpremise,ROOFTOP
